timestamp_utc,url,headline,location,status,rent_kr_per_month,rooms,sqm
2026-02-17T08:08:08.963864+00:00,https://kerebyudlejning.dk/bolig/resundsvej-1-5-th-2300-kobenhavn-s,Flot penthouse lejlighed på Amager med altan,"Øresundsvej 1, 5. th 2300
      København S",,14583,3,70
2026-02-17T11:00:55.840073+00:00,https://kerebyudlejning.dk/bolig/roskildevej-47-2-th-2000-frederiksberg,4-værelses lejlighed på Frederiksberg,"Roskildevej 47, 2. th 2000
      Frederiksberg",Reserveret,15751,4,102
2026-02-19T11:11:21.809506+00:00,https://kerebyudlejning.dk/bolig/fredensgade-5-1-tv-2200-kobenhavn-n,3-værelses lejlighed på Nørrebro,"Fredensgade 5, 1. tv 2200
      København N",Reserveret,9852,3,61
2026-02-19T12:38:55.374540+00:00,https://kerebyudlejning.dk/bolig/amagerbrogade-118-1-tv-2300-kobenhavn-s,3-værelses lejlighed på Amager,"Amagerbrogade 118, 1. tv 2300
      København S",Reserveret,14555,3,93
2026-02-20T12:01:55.561571+00:00,https://kerebyudlejning.dk/bolig/viborggade-19-3-th-2100-kobenhavn,3-værelses lejlighed på Østerbro,"Viborggade 19, 3. th 2100
      København Ø",Reserveret,14385,3,90
2026-02-23T14:13:25.934250+00:00,https://kerebyudlejning.dk/bolig/norrebrogade-201a-3-tv-2200-kobenhavn-n,4-værelses lejlighed på Nørrebro,"Nørrebrogade 201A, 3. tv 2200
      København N",Reserveret,15460,4,98
2026-02-24T09:12:52.820840+00:00,https://kerebyudlejning.dk/bolig/sundbyvester-plads-9-3-th-2300-kobenhavn-s,2-værelses lejlighed på Amager,"Sundbyvester Plads 9, 3. th 2300
      København S",Reserveret,8516,2,55
2026-02-25T12:32:03.039772+00:00,https://kerebyudlejning.dk/bolig/kronprinsensgade-10-3-1114-kobenhavn-k,4-værelses lejlighed i indre by,"Kronprinsensgade 10, 3. 1114
      København K",,23780,4,154
2026-02-26T09:03:30.259278+00:00,https://kerebyudlejning.dk/bolig/falkoner-alle-12a-2-tv-2000-frederiksberg,3-værelses lejlighed på Frederiksberg,"Falkoner Alle 12A, 2. tv 2000
      Frederiksberg",Reserveret,15058,3,93
2026-02-26T11:39:21.440056+00:00,https://kerebyudlejning.dk/bolig/marievej-2-3-th-2900-hellerup,4-værelses lejlighed i Hellerup,"Marievej 2, 3. th 2900
      Hellerup",,17765,4,110
2026-03-02T13:19:31.940183+00:00,https://kerebyudlejning.dk/bolig/sverrigsgade-11-2-th-2300-kobenhavn-s,3-værelses lejlighed på Amager,"Sverrigsgade 11, 2. th 2300
      København S",Reserveret,8376,3,58
2026-03-03T09:04:41.433005+00:00,https://kerebyudlejning.dk/bolig/strandboulevarden-61-1-tv-2100-kobenhavn,Istandsat 4-værelses på Østerbro,"Strandboulevarden 61, 1. tv 2100
      København Ø",Reserveret,15264,3,96
